Name,Definition
OTHERWRVU10,Other Work Relative Value Unit 10
CONWRVU1,Concurrent Work Relative Value Unit 1
CONWRVU2,Concurrent Work Relative Value Unit 2
CONWRVU3,Concurrent Work Relative Value Unit 3
CONWRVU4,Concurrent Work Relative Value Unit 4
CONWRVU5,Concurrent Work Relative Value Unit 5
CONWRVU6,Concurrent Work Relative Value Unit 6
CONWRVU7,Concurrent Work Relative Value Unit 7
CONWRVU8,Concurrent Work Relative Value Unit 8
CONWRVU9,Concurrent Work Relative Value Unit 9
CONWRVU10,Concurrent Work Relative Value Unit 10
WNDCLAS,Wound classification
MORTPROB,Estimated Probability of Mortality
MORBPROB,Estimated Probability of Morbidity
HDISDT,Hospital discharge Year
YRDEATH,Year of death
ADMQTR,Quarter of Admission
HTOODAY,Days from Hospital Admission to Operation
NSUPINFEC,Number of Superficial Incisional SSI  Occurrences
SUPINFEC,Occurrences Superficial surgical site infection
SSSIPATOS,Superficial Incisional SSI PATOS
DSUPINFEC,Days from Operation until Superficial Incisional SSI Complication
NWNDINFD,Number of Deep Incisional SSI Occurrences
WNDINFD,Occurrences Deep Incisional SSI
DSSIPATOS,Deep Incisional SSI PATOS
DWNDINFD,Days from Operation until Deep Incisional SSI Complication
NORGSPCSSI,Number of Organ/Space SSI Occurrences
ORGSPCSSI,Occurrences Organ Space SSI
OSSIPATOS,Organ/Space SSI PATOS
DORGSPCSSI,Days from Operation until Organ/Space SSI Complication
NDEHIS,Number of Wound Disruption Occurrences
DEHIS,Occurrences Wound Disrupt
DDEHIS,Days from Operation until Wound Disruption Complication
NOUPNEUMO,Number of Pneumonia Occurrences
OUPNEUMO,Occurrences Pneumonia
PNAPATOS,Pneumonia PATOS
DOUPNEUMO,Days from Operation until Pneumonia Complication
NREINTUB,Number of Unplanned Intubation Occurrences
REINTUB,Occurrences Unplanned Intubation
DREINTUB,Days from Operation until Unplanned Intubation Complication
NPULEMBOL,Number of Pulmonary Embolism Occurrences
PULEMBOL,Occurrences Pulmonary Embolism
DPULEMBOL,Days from Operation until Pulmonary Embolism Complication
NFAILWEAN,Number of On Ventilator > 48 Hours Occurrences
FAILWEAN,Occurrences Ventilator > 48Hours
VENTPATOS,On Ventilator > 48 Hours PATOS
DFAILWEAN,Days from Operation until On Ventilator > 48 Hours Complication
NRENAINSF,Number of Progressive Renal Insufficiency Occurrences
RENAINSF,Occurrences Progressive Renal Insufficiency
DRENAINSF,Days from Operation until Progressive Renal Insufficiency Complication
NOPRENAFL,Number of Acute Renal Failure Occurrences
OPRENAFL,Occurrences Acute Renal Fail
DOPRENAFL,Days from Operation until Acute Renal Failure Complication
NURNINFEC,Number of Urinary Tract infection Occurrences
URNINFEC,Occurrences Urinary Tract Infection
UTIPATOS,UTI PATOS
DURNINFEC,Days from Operation until Urinary Tract Infection Complication
NCNSCVA,Number of Stroke/CVA Occurrences
CNSCVA,CVA/Stroke with neurological deficit
DCNSCVA,Days from Operation until Stroke/CVA Complication
NCDARREST,Number of Cardiac Arrest Requiring CPR Occurrences
CDARREST,Occurrences Cardiac Arrest Requiring CPR
DCDARREST,Days from Operation until Cardiac Arrest Requiring CPR Complication
NCDMI,Number of Myocardial Infarction Occurrences
CDMI,Occurrences Myocardial Infarction
DCDMI,Days from Operation until Myocardial Infarction Complication
NOTHBLEED,Number of Bleeding Transfusions Occurrences
OTHBLEED,Occurrences Bleeding Transfusions
DOTHBLEED,Days from Operation until Bleeding Transfusions Complication
NOTHDVT,Number of DVT/Thrombophlebitis Occurrences
OTHDVT,Occurrences DVT/Thrombophlebitis
DOTHDVT,Days from Operation until DVT/Thrombophlebitis Complication
NOTHSYSEP,Number of Sepsis Occurrences
OTHSYSEP,Occurrences Sepsis
SEPSISPATOS,Sepsis PATOS
DOTHSYSEP,Days from Operation until Sepsis Complication
NOTHSESHOCK,Number of Septic Shock Occurrences
OTHSESHOCK,Occurrences Septic Shock
SEPSHOCKPATOS,Septic Shock PATOS
DOTHSESHOCK,Days from Operation until Septic Shock Complication
PODIAG10,Post-op diagnosis (ICD 10)
PODIAGTX10,Post-op Diagnosis Text
RETURNOR,Return to OR
DOPERTOD,Days from Operation to Death
DOPTODIS,Days from Operation to Discharge
STILLINHOSP,Still in Hospital > 30 Days
REOPERATION1,Unplanned Reoperation 1
RETORPODAYS,Days from principal operative procedure to Unplanned Reoperation 1
RETOR2PODAYS,Days from principal operative procedure to Unplanned Reoperation 2
READMPODAYS1,Days from principal operative procedure to Any Readmission 1
READMPODAYS2,Days from principal operative procedure to Any Readmission 2
READMPODAYS3,Days from principal operative procedure to Any Readmission 3
READMPODAYS4,Days from principal operative procedure to Any Readmission 4
READMPODAYS5,Days from principal operative procedure to Any Readmission 5
WOUND_CLOSURE,Surgical wound closure
OTHCDIFF,Occurrences Clostridium Difficile (C.diff) Colitis
NOTHCDIFF,Number of C. diff Occurrences
DOTHCDIFF,Days from operation until C.diff Complication
