Name,Definition,r,Preselect by Dr. Gupta?,ADD/REMOVE,Comments
VENTPATOS,On Ventilator > 48 Hours PATOS,-0.037434473,FALSE,,
PRINR,Pre-operative International Normalized Ratio (INR) of PT values,-0.038838933,TRUE,ADD,
FNSTATUS2,Functional health status Prior to Surgery,-0.040184461,TRUE,ADD,
WNDINF,Open wound/wound infection,-0.040856988,TRUE,ADD,
OTHSESHOCK,Occurrences Septic Shock,-0.040903173,FALSE,,
NOTHSESHOCK,Number of Septic Shock Occurrences,-0.040903173,FALSE,,
NCNSCVA,Number of Stroke/CVA Occurrences,-0.042386374,FALSE,,
CNSCVA,CVA/Stroke with neurological deficit,-0.044626991,FALSE,,
PRALKPH,Pre-operative alkaline phosphatase,-0.044843725,TRUE,ADD,
EOL_WDCARE,End of Life/Withdrawal of Care,-0.04665335,FALSE,,
STILLINHOSP,Still in Hospital > 30 Days,-0.048470742,FALSE,,
NOUPNEUMO,Number of Pneumonia Occurrences,-0.049111359,FALSE,,
OUPNEUMO,Occurrences Pneumonia,-0.049461893,FALSE,,
STEROID,Immunosuppressive Therapy,-0.049742842,TRUE,ADD,
PNAPATOS,Pneumonia PATOS,-0.051717248,FALSE,,
HYPERMED,Hypertension requiring medication,-0.052285696,TRUE,ADD,
TOTHLOS,Length of total hospital stay,-0.056399438,TRUE,ADD,
PODIAGTX10,Post-op Diagnosis Text,-0.060748507,FALSE,,
READMISSION1,Any Readmission 1,-0.062049396,FALSE,,
NOPRENAFL,Number of Acute Renal Failure Occurrences,-0.063980967,FALSE,,
NRENAINSF,Number of Progressive Renal Insufficiency Occurrences,-0.065906341,FALSE,,
NCDARREST,Number of Cardiac Arrest Requiring CPR Occurrences,-0.07039773,FALSE,,
TRANSFUS,Preop Transfusion of >= 1 unit of whole/packed RBCs in 72 hours prior to surgery,-0.071961912,TRUE,ADD,
AGE,Age of patient with patients over 89 coded as 90+,-0.074457975,TRUE,ADD,
NREINTUB,Number of Unplanned Intubation Occurrences,-0.074836494,FALSE,,
REINTUB,Occurrences Unplanned Intubation,-0.076901943,FALSE,,
DISCHDEST,Discharge Destination,-0.081047462,FALSE,,
TRANST,Transfer status,-0.083151904,FALSE,,
PRCREAT,Pre-operative serum creatinine,-0.084830701,TRUE,ADD,
RACE_NEW,New Race,-0.085206145,TRUE,ADD,
DIALYSIS,Currently on dialysis (pre-op),-0.089090333,TRUE,ADD,
HXCHF,Heart failure (CHF) in 30 days before surgery,-0.09097913,TRUE,ADD,
PRBUN,Pre-operative BUN,-0.099328872,TRUE,ADD,
MORBPROB,Estimated Probability of Morbidity,-0.102800374,FALSE,,
DOPTODIS,Days from Operation to Discharge,-0.107821538,FALSE,,
REOPERATION1,Unplanned Reoperation 1,-0.115472218,FALSE,,
RETURNOR,Return to OR,-0.115472218,FALSE,,
NFAILWEAN,Number of On Ventilator > 48 Hours Occurrences,-0.122517671,FALSE,,
FAILWEAN,Occurrences Ventilator > 48Hours,-0.122517671,FALSE,,
MORTPROB,Estimated Probability of Mortality,-0.150074551,FALSE,,
OPTIME,Total operation time,-0.209005112,TRUE,ADD,
