Name,Definition
NFAILWEAN,Number of On Ventilator > 48 Hours Occurrences
FAILWEAN,Occurrences Ventilator > 48Hours
VENTPATOS,On Ventilator > 48 Hours PATOS
DFAILWEAN,Days from Operation until On Ventilator > 48 Hours Complication
NRENAINSF,Number of Progressive Renal Insufficiency Occurrences
RENAINSF,Occurrences Progressive Renal Insufficiency
DRENAINSF,Days from Operation until Progressive Renal Insufficiency Complication
NOPRENAFL,Number of Acute Renal Failure Occurrences
OPRENAFL,Occurrences Acute Renal Fail
DOPRENAFL,Days from Operation until Acute Renal Failure Complication
NURNINFEC,Number of Urinary Tract infection Occurrences
URNINFEC,Occurrences Urinary Tract Infection
UTIPATOS,UTI PATOS
DURNINFEC,Days from Operation until Urinary Tract Infection Complication
NCNSCVA,Number of Stroke/CVA Occurrences
CNSCVA,CVA/Stroke with neurological deficit
DCNSCVA,Days from Operation until Stroke/CVA Complication
NCDARREST,Number of Cardiac Arrest Requiring CPR Occurrences
CDARREST,Occurrences Cardiac Arrest Requiring CPR
DCDARREST,Days from Operation until Cardiac Arrest Requiring CPR Complication
NCDMI,Number of Myocardial Infarction Occurrences
CDMI,Occurrences Myocardial Infarction
DCDMI,Days from Operation until Myocardial Infarction Complication
NOTHBLEED,Number of Bleeding Transfusions Occurrences
OTHBLEED,Occurrences Bleeding Transfusions
DOTHBLEED,Days from Operation until Bleeding Transfusions Complication
NOTHDVT,Number of DVT/Thrombophlebitis Occurrences
OTHDVT,Occurrences DVT/Thrombophlebitis
DOTHDVT,Days from Operation until DVT/Thrombophlebitis Complication
NOTHSYSEP,Number of Sepsis Occurrences
OTHSYSEP,Occurrences Sepsis
SEPSISPATOS,Sepsis PATOS
DOTHSYSEP,Days from Operation until Sepsis Complication
NOTHSESHOCK,Number of Septic Shock Occurrences
OTHSESHOCK,Occurrences Septic Shock
SEPSHOCKPATOS,Septic Shock PATOS
DOTHSESHOCK,Days from Operation until Septic Shock Complication
PODIAG,Post-op diagnosis (ICD 9)
PODIAGTX,Post-op Diagnosis Text
PODIAG10,Post-op diagnosis (ICD 10)
PODIAGTX10,Post-op Diagnosis Text
RETURNOR,Return to OR
DOpertoD,Days from Operation to Death
DOptoDis,Days from Operation to Discharge
STILLINHOSP,Still in Hospital > 30 Days
REOPERATION1,Unplanned Reoperation 1
RETORPODAYS,Days from principal operative procedure to Unplanned Reoperation 1
REOPORCPT1,Unplanned Reoperation 1 CPT
RETORRELATED,Unplanned Reoperation 1 related to principal operative procedure
REOPORICD91,Unplanned Reoperation 1 ICD-9
REOPOR1ICD101,Unplanned Reoperation 1 ICD-10
REOPERATION2,Unplanned Reoperation 2
RETOR2PODAYS,Days from principal operative procedure to Unplanned Reoperation 2
REOPOR2CPT1,Unplanned Reoperation 2 CPT
RETOR2RELATED,Unplanned Reoperation 2 related to principal operative procedure
REOPOR2ICD91,Unplanned Reoperation 2 ICD-9
REOPOR2ICD101,Unplanned Reoperation 2 ICD-10
REOPERATION3,More than 2 unplanned reoperations
READMISSION1,Any Readmission 1
READMPODAYS1,Days from principal operative procedure to Any Readmission 1
UNPLANNEDREADMISSION1,Unplanned Readmission 1
READMRELATED1,Unplanned Readmission 1 likely related to the principal procedure
READMSUSPREASON1,Readmission related suspected reason 1
READMUNRELSUSP1,Readmission unrelated suspected reason 1
READMRELICD91,Readmission related ICD-9 code 1
READMRELICD101,Readmission related ICD-10 code 1
READMUNRELICD91,Readmission unrelated ICD-9 code 1
READMUNRELICD101,Readmission unrelated ICD-10 code 1
READMISSION2,Any Readmission 2
READMPODAYS2,Days from principal operative procedure to Any Readmission 2
UNPLANNEDREADMISSION2,Unplanned Readmission 2
READMRELATED2,Unplanned Readmission 2 likely related to the principal procedure
READMSUSPREASON2,Readmission related suspected reason 2
READMUNRELSUSP2,Readmission unrelated suspected reason 2
READMRELICD92,Readmission related ICD-9 code 2
READMRELICD102,Readmission related ICD-10 code 2
READMUNRELICD92,Readmission unrelated ICD-9 code 2
READMUNRELICD102,Readmission unrelated ICD-10 code 2
READMISSION3,Any Readmission 3
READMPODAYS3,Days from principal operative procedure to Any Readmission 3
UNPLANNEDREADMISSION3,Unplanned Readmission 3
READMRELATED3,Unplanned Readmission 3 likely related to the principal procedure
READMSUSPREASON3,Readmission related suspected reason 3
READMUNRELSUSP3,Readmission unrelated suspected reason 3
READMRELICD93,Readmission related ICD-9 code 3
READMRELICD103,Readmission related ICD-10 code 3
READMUNRELICD93,Readmission unrelated ICD-9 code 3
READMUNRELICD103,Readmission unrelated ICD-10 code 3
READMISSION4,Any Readmission 4
READMPODAYS4,Days from principal operative procedure to Any Readmission 4
UNPLANNEDREADMISSION4,Unplanned Readmission 4
READMRELATED4,Unplanned Readmission 4 likely related to the principal procedure
READMSUSPREASON4,Readmission related suspected reason 4
READMUNRELSUSP4,Readmission unrelated suspected reason 4
READMRELICD94,Readmission related ICD-9 code 4
READMRELICD104,Readmission related ICD-10 code 4
READMUNRELICD94,Readmission unrelated ICD-9 code 4
READMUNRELICD104,Readmission unrelated ICD-10 code 4
READMISSION5,Any Readmission 5
READMPODAYS5,Days from principal operative procedure to Any Readmission 5
UNPLANNEDREADMISSION5,Unplanned Readmission 5
READMRELATED5,Unplanned Readmission 5 likely related to the principal procedure
READMSUSPREASON5,Readmission related suspected reason 5
READMUNRELSUSP5,Readmission unrelated suspected reason 5
READMRELICD95,Readmission related ICD-9 code 5
READMRELICD105,Readmission related ICD-10 code 5
READMUNRELICD95,Readmission unrelated ICD-9 code 5
READMUNRELICD105,Readmission unrelated ICD-10 code 5
WOUND_CLOSURE,Surgical wound closure
PODIAG_OTHER,Other postoperative occurrence(ICD 9)
PODIAG_OTHER10,Other postoperative occurrence(ICD 10)
ANESTHES_OTHER,Additional anesthesia technique
OTHCDIFF,Occurrences Clostridium Difficile (C.diff) Colitis
NOTHCDIFF,Number of C. diff Occurrences
DOTHCDIFF,Days from operation until C.diff Complication
EOL_WDCARE,End of Life/Withdrawal of Care
BLEED_UNITS_TOT,Postop total transfusion amount
